id,set_name,set_code,num_of_cards,tcg_date
93da3c9bf4adffa229ef1747c3b3c95f,Yu-Gi-Oh! Championship Series 2018 prize card,YCSW,1,2018-09-22
17943d7262d755da8a0d683f3e8d9a2e,Legendary Duelists: White Dragon Abyss,LED3,56,2018-09-27
c314e5654fde80c022c80e160001c02b,Legendary Hero Decks,LEHD,117,2018-10-04
24adcc2065ed2ed68b1b6c72f0a8ce54,Soul Fusion Sneak Peek Participation Card,SOFU,1,2018-10-13
6ccfe644e861b7b88dfd41ba7823d31c,Soul Fusion,SOFU,100,2018-10-18
b9c1c3bad438154359e94871d13d8b39,Yu-Gi-Oh! Advent Calendar (2018),AC18,24,2018-10-25
84d4eabe88537adb96a2561d21e396b3,Structure Deck: Zombie Horde,SR07,42,2018-11-01
6ef28f45ae19065b56739bd47ea229df,Yu-Gi-Oh! ARC-V Volume 4 promotional card,YA04,1,2018-11-06
af60b9a053bbd08b01d27886a167a818,Hidden Summoners,HISU,60,2018-11-15
2c99fba51c04ee6afc70a07ad32eeb86,Weekly Shonen Jump November 2018 membership promotional card,JUMP,1,2018-11-21
ede0e105983702ed115d4e99416a8c3b,Weekly Shonen Jump December 2018 membership promotional cards,JUMP,4,2018-12-01
d9664ecfdd5e5da052a3bab282dd85d8,OTS Tournament Pack 9,OP09,26,2018-12-06
e0287a9b16d64cecab1a8bccbabb0d2c,OTS Tournament Pack 9 (POR),OP09,36,2018-12-06
37dbbb715cf88879abad26dc98958804,Soul Fusion Special Edition,SOFU,4,2018-12-06
2ccbb9b1c690540427facb42212ed9e1,The Lost Art Promotion G,LART,1,2019-01-01
887ef689460538023963f83af480b674,WSJ Jump Pack Spring 2019 promotional card,JMPS,1,2019-01-01
4285fe6083db6af5bf9f55eeafbcfa37,Legendary Duelists: Sisters of the Rose,LED4,56,2019-01-10
fd2f480e7d4c9f687cf9854d1714e5e5,Speed Duel Starter Decks: Destiny Masters,SS01,64,2019-01-24
252db9553776f8e6b60e5a84f15e8e43,Speed Duel Starter Decks: Duelists of Tomorrow,SS02,69,2019-01-24
2cc066cedeaf260bf3f5ad0cc3cc19cc,Savage Strike Sneak Peek Participation Card,SAST,1,2019-01-26
7aaf44c411d4386963d8002ab3e37c90,Savage Strike,SAST,100,2019-01-31
e168bc0ecb4fdef549ab4163cdbae891,The Lost Art Promotion H,LART,1,2019-02-01
0520d8ae796b0c344ae676d6ea11484a,The Lost Art Promotion M,LART,1,2019-02-01
db9bdf92b4f75a281a5e76776e5c3079,Yu-Gi-Oh! World Championship 2019 Japanese National Qualifiers prize cards,2019,2,2019-02-01
74a0540e144592a401e5f91428715ce2,Structure Deck: Soulburner,SDSB,45,2019-02-14
